episode,reward
0,-0.009
1000,0.82675
2000,0.94225
3000,0.93275
4000,0.862
5000,0.9425
6000,0.852
7000,0.923
8000,0.837
9000,0.8975
10000,0.85625
11000,0.98425
12000,1.01025
13000,0.92725
14000,0.8515
15000,0.94075
16000,0.851
17000,0.9305
18000,0.87575
19000,0.85525
20000,0.9315
21000,0.90825
22000,0.87425
23000,0.83825
24000,0.77425
25000,0.9515
26000,0.8925
27000,0.99275
28000,0.89525
29000,0.934
30000,0.8645
31000,0.90925
32000,0.75925
33000,0.99075
34000,0.90275
35000,0.848
36000,0.95125
37000,0.93575
38000,0.886
39000,0.96625
40000,0.84725
41000,0.87275
42000,0.91125
43000,0.8835
44000,0.96575
45000,0.798
46000,0.78925
47000,0.8735
48000,0.8925
49000,0.77875
50000,0.884
51000,0.9635
52000,0.8875
53000,0.84375
54000,0.8075
55000,0.90575
56000,0.9015
57000,0.873
58000,0.886
59000,0.8635
60000,0.82675
61000,0.89025
62000,0.811
63000,0.822
64000,0.961
65000,0.88225
66000,0.83175
67000,1.104
68000,0.72325
69000,0.86875
70000,0.82875
71000,0.879
72000,0.8385
73000,0.9395
74000,0.98225
75000,1.00275
76000,0.834
77000,0.8505
78000,0.91125
79000,0.90675
80000,0.93475
81000,0.92975
82000,0.8935
83000,0.85625
84000,0.88
85000,0.8125
86000,0.84875
87000,0.9455
88000,0.877
89000,0.97625
90000,0.8415
91000,0.8275
92000,0.8795
93000,0.8025
94000,0.9685
95000,0.84575
96000,0.897
97000,0.879
98000,0.916
99000,0.8715
100000,0.9965
101000,0.825
102000,0.88925
103000,0.805
104000,0.84475
105000,0.91725
106000,0.92175
107000,0.893
108000,0.8745
109000,0.80725
110000,0.94575
111000,0.893
112000,0.867
113000,0.81775
114000,0.9135
115000,0.79275
116000,0.86025
117000,0.8815
118000,0.82175
119000,0.90875
120000,0.9155
121000,0.915
122000,0.8175
123000,0.9555
124000,0.839
125000,0.94975
126000,0.853
127000,0.94475
128000,0.898
129000,0.9045
130000,0.86325
131000,0.89625
132000,0.89775
133000,0.83025
134000,0.881
135000,0.8
136000,0.902
137000,0.872
138000,0.927
139000,0.81375
140000,0.9155
141000,0.94975
142000,0.843
143000,0.87925
144000,0.851
145000,0.92575
146000,0.9025
147000,0.88075
148000,0.87825
149000,0.904
150000,0.82925
151000,0.82775
152000,0.89
153000,0.87825
154000,0.94675
155000,0.9415
156000,0.83875
157000,0.91225
158000,0.88425
159000,0.85625
160000,0.88025
161000,0.889
162000,0.9625
163000,0.9085
164000,0.84375
165000,0.912
166000,0.908
167000,0.885
168000,0.921
169000,0.8595
170000,0.844
171000,0.8695
172000,0.882
173000,0.9145
174000,0.903
175000,0.84875
176000,0.812
177000,0.84675
178000,0.8155
179000,0.99825
180000,0.8455
181000,0.962
182000,0.96725
183000,0.823
184000,0.81
185000,0.96
186000,0.913
187000,0.9005
188000,0.86875
189000,0.8605
190000,0.816
191000,0.9485
192000,0.79475
193000,0.88625
194000,0.986
195000,0.8325
196000,0.87125
197000,0.92075
198000,0.869
199000,0.8965
200000,0.869
201000,0.81
202000,0.80425
203000,0.9175
204000,0.9875
205000,0.9175
206000,0.813
207000,0.934
208000,1.01175
209000,0.871
210000,0.88275
211000,1.0045
212000,0.89425
213000,0.87475
214000,0.86675
215000,0.933
216000,0.8185
217000,0.91025
218000,1.0025
219000,0.83325
220000,0.90925
221000,0.94375
222000,0.865
223000,0.84625
224000,0.85475
225000,0.8285
226000,0.93
227000,0.85325
228000,0.772
229000,0.7815
230000,0.9255
231000,0.90375
232000,0.793
233000,0.883
234000,0.889
235000,0.849
236000,0.76425
237000,0.96325
238000,0.95725
239000,0.85025
240000,0.858
241000,0.87575
242000,0.78025
243000,0.89525
244000,1.008
245000,0.96125
246000,1.01725
247000,0.86425
248000,0.865
249000,0.9025
250000,0.89925
251000,0.84175
252000,0.92825
253000,0.99225
254000,0.885
255000,0.95075
256000,0.80625
257000,0.95275
258000,0.903
259000,0.82225
260000,0.898
261000,0.89775
262000,0.812
263000,0.9915
264000,0.852
265000,0.911
266000,0.89525
267000,0.869
268000,0.75075
269000,0.7735
270000,0.912
271000,0.89425
272000,0.84275
273000,0.859
274000,0.9715
275000,0.8955
276000,0.922
277000,0.90775
278000,0.8435
279000,0.881
280000,0.88475
281000,0.87275
282000,0.88675
283000,0.8645
284000,0.9565
285000,0.8875
286000,0.911
287000,0.916
288000,0.9635
289000,0.8495
290000,0.91625
291000,0.82825
292000,0.974
293000,0.7935
294000,0.96675
295000,0.852
296000,0.8375
297000,0.93825
298000,0.886
299000,0.90425
300000,0.925
301000,0.952
302000,0.90525
303000,0.91975
304000,0.90825
305000,0.88225
306000,0.88725
307000,0.88625
308000,0.90125
309000,0.92575
310000,0.93575
311000,0.80875
312000,0.94575
313000,0.89025
314000,0.927
315000,0.825
316000,0.88675
317000,0.815
318000,0.933
319000,1.01425
320000,0.8385
321000,0.92525
322000,0.862
323000,0.9025
324000,0.83275
325000,0.83225
326000,0.907
327000,0.89
328000,0.96275
329000,1.01075
330000,0.97675
331000,0.87075
332000,0.821
333000,0.921
334000,0.8845
335000,0.9395
336000,0.97325
337000,0.9305
338000,0.934
339000,0.9195
340000,0.77675
341000,0.8435
342000,0.78075
343000,0.9955
344000,1.00025
345000,0.9635
346000,0.96375
347000,0.81925
348000,0.88925
349000,0.91475
350000,0.879
351000,0.9415
352000,0.96675
353000,0.85575
354000,0.84375
355000,0.956
356000,0.98825
357000,1.0035
358000,0.94575
359000,0.96225
360000,0.86875
361000,0.8565
362000,0.89175
363000,0.9195
364000,0.924
365000,0.8645
366000,0.92125
367000,0.923
368000,0.8965
369000,0.822
370000,0.85225
371000,0.945
372000,0.8595
373000,1.057
374000,0.9705
375000,0.9285
376000,0.82525
377000,0.94075
378000,0.88325
379000,0.9405
380000,0.89125
381000,0.924
382000,0.93025
383000,0.91675
384000,0.885
385000,0.91775
386000,0.86125
387000,0.89475
388000,0.897
389000,0.879
390000,0.97975
391000,0.924
392000,0.95975
393000,1.02
394000,0.882
395000,0.87875
396000,0.952
397000,0.8195
398000,0.819
399000,0.80275
400000,0.888
401000,0.895
402000,0.90325
403000,0.99225
404000,0.90225
405000,0.8665
406000,0.96775
407000,0.81
408000,0.847
409000,0.9255
410000,0.92375
411000,0.89175
412000,0.995
413000,0.8525
414000,0.86875
415000,0.89725
416000,0.903
417000,0.90325
418000,0.81125
419000,0.85325
420000,0.91275
421000,0.87075
422000,0.9415
423000,0.8995
424000,0.9415
425000,0.928
426000,0.80575
427000,0.91575
428000,0.90375
429000,0.84475
430000,0.9775
431000,0.80375
432000,0.88375
433000,0.90575
434000,0.86375
435000,0.83925
436000,0.987
437000,0.9845
438000,0.8855
439000,0.8915
440000,0.88775
441000,0.7985
442000,0.88275
443000,0.85775
444000,0.91475
445000,0.92575
446000,0.96825
447000,0.929
448000,0.91525
449000,0.87575
450000,0.86725
451000,0.8735
452000,0.93925
453000,0.91575
454000,0.80425
455000,0.96575
456000,0.89275
457000,0.92525
458000,0.967
459000,0.91325
460000,0.86825
461000,0.872
462000,0.80775
463000,0.79475
464000,0.85525
465000,0.88375
466000,1.024
467000,0.82625
468000,1.00225
469000,0.806
470000,0.87925
471000,0.9105
472000,0.8305
473000,0.90575
474000,0.85875
475000,0.8635
476000,0.96
477000,1.0
478000,0.92025
479000,0.83925
480000,0.90925
481000,0.87525
482000,0.87125
483000,0.8905
484000,0.89375
485000,0.81025
486000,0.971
487000,0.83375
488000,1.0085
489000,0.869
490000,0.93125
491000,0.8315
492000,0.86225
493000,0.8785
494000,0.84375
495000,0.8695
496000,0.93175
497000,0.9135
498000,0.90125
499000,0.81325
