episode,reward
0,-0.0255
1000,-0.089
2000,-0.1845
3000,0.18
4000,0.42
5000,-0.0065
6000,0.075
7000,2.734
8000,-0.734
9000,-0.333
10000,1.1885
11000,1.2855
12000,0.5905
13000,-1.408
14000,-0.49975
15000,-0.5775
16000,0.06725
17000,-0.09275
18000,0.5005
19000,-0.309
20000,0.4695
21000,-1.016
22000,-0.3845
23000,-0.988
24000,-0.7875
25000,0.0
26000,-0.121
27000,0.0775
28000,0.1965
29000,0.2755
30000,1.3055
31000,1.058
32000,1.2495
33000,-0.0525
34000,-0.682
35000,-0.158
36000,-1.0115
37000,-0.27
38000,-0.4315
39000,0.705
40000,0.2055
41000,0.185
42000,0.41825
43000,-0.13625
44000,-0.08075
45000,0.004
46000,0.295
47000,0.4835
48000,-0.098
49000,0.168
50000,-0.177
51000,0.1625
52000,0.1465
53000,0.1715
54000,-0.1005
55000,0.2085
56000,-0.096
57000,-0.137
58000,-0.3875
59000,-0.047
60000,-0.273
61000,-0.149
62000,0.05625
63000,0.10475
64000,0.1475
65000,-0.0055
66000,0.0175
67000,-0.00275
68000,-0.1135
69000,-0.3515
70000,0.0725
71000,0.2645
72000,0.1165
73000,0.1685
74000,0.005
75000,-0.6485
76000,0.028
77000,0.2315
78000,-0.1115
79000,0.1625
80000,-0.0295
81000,0.207
82000,0.451
83000,-0.3245
84000,0.2015
85000,0.191
86000,0.146
87000,-0.217
88000,-0.1615
89000,0.1605
90000,0.151
91000,0.155
92000,-0.134
93000,0.029
94000,-0.2985
95000,-0.238
96000,-0.2505
97000,-0.31275
98000,-0.044
99000,0.5935
100000,0.492
101000,0.835
102000,0.796
103000,0.4875
104000,-0.431
105000,0.032
106000,0.253
107000,-0.076
108000,0.3385
109000,0.372
110000,0.5715
111000,-0.0055
112000,0.02525
113000,0.36925
114000,-0.1555
115000,-0.1055
116000,-0.1245
117000,-0.406
118000,-0.4955
119000,-0.5105
120000,-0.373
121000,-0.421
122000,0.797
123000,0.43975
124000,0.0795
125000,0.3005
126000,-0.0125
127000,0.5125
128000,0.337
129000,0.18
130000,0.286
131000,0.072
132000,-0.057
133000,0.12
134000,0.0795
135000,-0.1155
136000,-0.1805
137000,-0.1855
138000,-1.535
139000,-0.4105
140000,0.1355
141000,-0.03
142000,0.588
143000,-0.5715
144000,-0.4195
145000,0.077
146000,-0.054
147000,-0.10475
148000,-0.198
149000,0.0615
150000,0.18875
151000,0.433
152000,0.26925
153000,0.04
154000,0.236
155000,-0.357
156000,-0.2575
157000,-0.1705
158000,0.3365
159000,0.2635
160000,0.193
161000,0.0035
162000,-0.3955
163000,-0.432
164000,-0.402
165000,-0.3445
166000,0.2905
167000,-0.211
168000,-0.279
169000,-0.491
170000,-0.3205
171000,0.385
172000,-0.692
173000,-0.0495
174000,0.022
175000,-0.0435
176000,0.17675
177000,0.18125
178000,0.49575
179000,0.9685
180000,0.5855
181000,0.49
182000,0.60325
183000,0.3365
184000,0.219
185000,0.125
186000,0.2525
187000,-0.301
188000,-0.0235
189000,-0.2165
190000,0.0405
191000,-0.0055
192000,0.28
193000,-0.33
194000,-0.1295
195000,-0.049
196000,-0.0565
197000,0.1965
198000,0.2935
199000,0.14575
200000,0.1825
201000,0.0
202000,-0.056
203000,-0.3285
204000,-0.2225
205000,-0.4575
206000,-0.219
207000,0.5775
208000,0.574
209000,0.6585
210000,0.437
211000,0.1655
212000,0.4305
213000,-0.1355
