episode,reward
0,-2.25
1000,-0.667
2000,-0.24
3000,-0.0005
4000,-2.037
5000,0.1575
6000,0.4665
7000,1.281
8000,1.41075
9000,2.11875
10000,2.1795
11000,2.25275
12000,1.7765
13000,1.949
14000,2.267
15000,2.28875
16000,2.37175
17000,1.892
18000,2.50675
19000,2.4
20000,2.42675
21000,2.689
22000,2.91325
23000,2.722
24000,3.099
25000,2.68425
26000,3.0325
27000,3.233
28000,2.971
29000,3.749
30000,3.652
31000,3.6515
32000,4.325
33000,3.5185
34000,4.3195
35000,4.155
36000,4.2695
37000,3.589
38000,3.628
39000,4.0895
40000,3.7745
41000,3.5355
42000,4.052
43000,4.383
44000,3.861
45000,4.391
46000,4.288
47000,3.501
48000,3.951
49000,3.3825
50000,4.283
51000,3.5615
52000,3.897
53000,3.673
54000,3.724
55000,3.7455
56000,3.7525
57000,3.9355
58000,3.6365
59000,3.7605
60000,3.521
61000,3.3585
62000,3.9815
63000,3.9285
64000,3.9135
65000,3.9025
66000,3.713
67000,3.9235
68000,3.908
69000,3.8765
70000,4.078
71000,3.9345
72000,4.246
73000,3.58
74000,3.696
75000,4.108
76000,4.178
77000,3.5755
78000,3.8575
79000,3.781
80000,3.9015
81000,4.376
82000,4.21
83000,4.0215
84000,4.33
85000,4.164
86000,4.047
87000,4.115
88000,4.2355
89000,3.631
90000,3.847
91000,3.72
92000,4.018
93000,3.9015
94000,3.7445
95000,3.643
96000,3.738
97000,3.7235
98000,3.989
99000,3.509
