episode,reward
0,-0.209
1000,-0.1525
2000,-1.37975
3000,-0.74475
4000,-0.15225
5000,-0.33
6000,-0.28825
7000,0.199
8000,-0.0015
9000,-0.33625
10000,-0.11075
11000,0.14175
12000,-0.01975
13000,0.13375
14000,0.054
15000,0.135
16000,0.09925
17000,-0.02675
18000,-0.01975
19000,0.18825
20000,0.23025
21000,0.06575
22000,0.001
23000,0.35825
24000,0.05625
25000,0.1085
26000,0.1825
27000,0.174
28000,0.26225
29000,0.215
30000,0.44
31000,0.104
32000,-0.1295
33000,0.24
34000,-0.165
35000,0.03725
36000,0.15575
37000,0.079
38000,0.0135
39000,0.11525
40000,0.1605
41000,-0.1195
42000,0.21925
43000,0.0865
44000,-0.05575
45000,-0.20775
46000,-0.241
47000,0.22675
48000,-0.154
49000,0.114
50000,-0.0985
51000,0.20525
52000,0.25875
53000,0.06875
54000,0.1465
55000,0.01225
56000,-0.155
57000,-0.0595
58000,0.096
59000,0.13875
60000,0.583
61000,0.29125
62000,0.07
63000,0.24175
64000,0.182
65000,0.02375
66000,0.1
67000,0.00025
68000,-0.03975
69000,-0.0295
70000,0.04525
71000,0.03025
72000,0.048
73000,0.021
74000,0.045
75000,0.2715
76000,0.071
77000,0.14575
78000,0.1285
79000,0.16025
80000,0.258
81000,0.12975
82000,0.0855
83000,0.15825
84000,-0.071
85000,0.0805
86000,0.12725
87000,-0.134
88000,-0.05025
89000,0.1465
90000,0.30725
91000,0.211
92000,-0.0725
93000,0.27575
94000,0.12175
95000,0.003
96000,0.184
97000,0.0915
98000,0.04875
99000,0.10825
100000,-0.13375
101000,0.02325
102000,0.19275
103000,-0.10475
104000,-0.003
105000,-0.17075
106000,-0.1435
107000,-0.046
108000,0.06075
109000,-0.236
110000,-0.209
111000,0.05375
112000,-0.0835
113000,0.1775
114000,0.07825
115000,0.16275
116000,-0.3025
117000,0.16075
118000,0.015
119000,0.01275
120000,-0.074
121000,-0.22075
122000,0.0525
123000,0.12425
124000,0.2595
125000,0.03775
126000,-0.2155
127000,-0.008
128000,0.16325
129000,0.167
130000,-0.043
131000,0.09475
132000,0.086
133000,0.3105
134000,0.19625
135000,-0.0015
136000,0.15175
137000,-0.06925
138000,0.184
139000,0.04875
140000,-0.02275
141000,0.10625
142000,0.4605
143000,0.1205
144000,0.01025
145000,0.00275
146000,0.22
147000,0.20475
148000,0.182
149000,-0.3095
150000,0.1395
151000,0.20525
152000,0.028
153000,0.14625
154000,-0.00225
155000,0.31625
156000,0.1685
157000,0.1825
158000,-0.22375
159000,-0.259
160000,0.26175
161000,0.04225
162000,-0.05575
163000,0.2395
164000,0.06425
165000,-0.069
166000,0.14625
167000,0.194
168000,-0.0385
169000,0.22925
170000,0.18175
171000,0.1465
172000,-0.141
173000,-0.01475
174000,0.4245
175000,-0.04525
176000,0.30075
177000,0.197
178000,0.34275
179000,0.15325
180000,0.116
181000,0.09725
182000,0.08125
183000,0.35
184000,0.4925
185000,0.1885
186000,0.24675
187000,-0.05975
188000,-0.049
189000,0.066
190000,-0.0055
191000,0.3305
192000,0.0925
193000,0.18775
194000,0.1685
195000,0.1575
196000,-0.1875
197000,0.0885
198000,-0.0005
199000,0.086
200000,0.06625
201000,-0.07775
202000,0.21375
203000,0.0045
204000,0.10425
205000,0.1645
206000,0.02375
207000,0.19825
208000,-0.08775
209000,0.0325
210000,0.2615
211000,0.01625
212000,0.1055
213000,0.065
214000,-0.1685
215000,-0.3415
216000,0.02
217000,-0.14325
218000,-0.0775
219000,-0.00225
220000,-0.28625
221000,0.06275
222000,-0.023
223000,-0.0215
224000,-0.22225
225000,0.0415
226000,0.02825
227000,0.10825
228000,-0.00375
229000,-0.039
230000,0.15825
231000,-0.093
232000,-0.3165
233000,-0.00225
234000,-0.10625
235000,-0.09975
236000,0.07475
237000,0.16175
238000,0.05275
239000,0.00575
240000,-0.04475
241000,0.04975
242000,0.08775
243000,0.257
244000,-0.148
245000,0.12175
246000,0.04975
247000,-0.287
248000,0.11925
249000,0.2485
250000,0.01225
251000,0.0115
252000,0.0195
253000,0.31225
254000,0.008
255000,0.27675
256000,-0.038
257000,0.01725
258000,-0.21075
259000,0.334
260000,0.08425
261000,0.0285
262000,0.10525
263000,0.16175
264000,0.07475
265000,-0.1105
266000,0.17875
267000,0.14725
268000,0.0755
269000,0.1085
270000,0.1965
271000,0.49125
272000,0.026
273000,0.089
274000,0.001
275000,0.08775
276000,-0.2755
277000,-0.01375
278000,0.29425
279000,-0.15175
280000,-0.0435
281000,0.1405
282000,0.12125
283000,0.0565
284000,0.05
285000,-0.17925
286000,0.02575
287000,0.179
288000,-0.20325
289000,-0.0265
290000,-0.00425
291000,-0.14825
292000,0.02925
293000,0.23725
294000,0.1525
295000,0.01925
296000,-0.1195
297000,-0.0455
298000,-0.1105
299000,-0.15
300000,-0.46775
301000,-0.094
302000,0.04725
303000,-0.38325
304000,-0.06025
305000,-0.2445
306000,0.27975
307000,-0.1705
308000,0.32925
309000,0.0765
310000,0.147
311000,0.20625
312000,0.09225
313000,0.04425
314000,0.0555
315000,0.06775
316000,0.18725
317000,0.3295
318000,0.271
319000,-0.05325
320000,0.0485
321000,0.157
322000,0.13275
323000,0.23125
324000,0.10175
325000,0.06975
326000,0.0825
327000,-0.04375
328000,0.18675
329000,-0.08975
330000,-0.247
331000,0.287
332000,-0.0185
333000,-0.10175
334000,0.18625
335000,0.07325
336000,0.21625
337000,0.01725
338000,-0.0505
339000,-0.1535
340000,-0.001
341000,-0.1835
342000,-0.11625
343000,-0.1155
344000,-0.12375
345000,0.1465
346000,0.0985
347000,0.01175
348000,-0.01725
349000,0.1785
350000,-0.00825
351000,0.1605
352000,-0.0205
353000,0.488
354000,0.2485
355000,-0.00725
356000,0.0195
357000,0.11675
358000,0.32625
359000,0.02025
360000,0.01575
361000,-0.009
362000,0.1215
363000,0.19275
364000,-0.013
365000,0.06875
366000,0.065
367000,0.06675
368000,-0.17975
369000,-0.1645
370000,0.10075
371000,0.39625
372000,0.09825
373000,-0.01625
374000,0.331
375000,-0.17325
376000,0.2335
377000,-0.2025
378000,0.2085
379000,-0.4235
380000,-0.04475
381000,0.177
382000,0.0375
383000,-0.01225
384000,-0.06725
385000,0.201
386000,-0.018
387000,0.17325
388000,0.219
389000,0.1715
390000,-0.142
391000,-0.06575
392000,0.2745
393000,0.06925
394000,0.06075
395000,-0.23025
396000,-0.088
397000,0.29675
398000,-0.377
399000,0.0075
400000,0.14275
401000,-0.05175
402000,0.17575
403000,0.144
404000,0.14975
405000,0.224
406000,0.20575
407000,0.1715
408000,-0.03575
409000,-0.00675
410000,-0.033
411000,0.49775
412000,0.21
413000,-0.00325
414000,-0.03775
415000,-0.07225
416000,0.0755
417000,-0.14525
418000,0.08025
419000,0.2625
420000,0.1135
421000,-0.04175
422000,0.112
423000,0.1455
424000,0.2515
425000,-0.01075
426000,0.01825
427000,0.09525
428000,0.1355
429000,0.124
430000,-0.21625
431000,0.05025
432000,-0.1205
433000,0.2775
434000,-0.045
435000,-0.153
436000,0.31575
437000,-0.14875
438000,0.467
439000,-0.054
440000,-0.054
441000,0.0225
442000,-0.0825
443000,-0.02675
444000,0.17325
445000,-0.16825
446000,0.06525
447000,0.23425
448000,-0.12025
449000,-0.1615
450000,-0.11975
451000,0.05125
452000,0.1955
453000,-0.144
454000,0.0815
455000,0.06325
456000,0.16675
457000,0.09925
458000,0.3625
459000,-0.12075
460000,-0.08575
461000,0.04225
462000,0.31325
463000,-0.05175
464000,0.219
465000,-0.14325
466000,-0.08225
467000,0.298
468000,0.19225
469000,-0.018
470000,0.06975
471000,-0.0935
472000,0.32825
473000,0.2175
474000,-0.079
475000,0.28175
476000,0.1755
477000,0.03275
478000,0.0485
479000,-0.16475
480000,-0.35675
481000,0.0345
482000,-0.00325
483000,-0.0585
484000,0.16725
485000,0.1785
486000,0.08275
487000,0.136
488000,0.2025
489000,-0.11125
490000,0.5555
491000,-0.0805
492000,-0.07175
493000,0.17925
494000,0.20275
495000,0.1135
496000,0.0125
497000,-0.04475
498000,0.00075
499000,-0.02925
